Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,136;42;1;1,932;100;1;1;0;7,81;1,786;0,31;7,81;1,786;0,31;0,734
ObjB-2;0,058;18;2;1,193;54;2;2;0;14,944;0,944;0,333;14,944;0,944;0,333;0,599
ObjB-3;0,178;55;3;2,862;122;3;3;0;94,164;0,582;0,8;94,164;0,582;0,8;1,115
ObjB-4;0,43;133;4;4,384;218;4;4;0;229,459;2,248;0,752;229,459;2,248;0,752;1,115
ObjB-5;0,229;71;5;2,742;126;5;5;0;271,775;1,197;0,803;271,775;1,197;0,803;0,948
ObjB-6;0,061;19;6;1,154;58;6;6;0;316,684;1,579;0,158;316,684;1,579;0,158;0,553
ObjB-7;0,11;34;7;2,194;94;7;7;0;361,618;0,529;0,676;361,618;0,529;0,676;1,013
ObjB-8;0,013;4;8;0,438;18;8;8;0;367,25;0,25;0,25;367,25;0,25;0,25;0,317
ObjB-9;0,052;16;9;1,066;46;9;9;0;369,625;1,688;0,438;369,625;1,688;0,438;0,523
ObjB-10;0,039;12;10;0,757;40;10;10;0;0,75;1,75;0;0,75;1,75;0;0,464
ObjB-11;0,385;119;11;4,356;204;11;11;0;104,546;2,748;0,924;104,546;2,748;0,924;1,175
ObjB-12;0,268;83;12;3,269;156;12;12;0;259,133;2,602;0,627;259,133;2,602;0,627;1,024
ObjB-13;0,12;37;13;2,15;90;13;13;0;18,892;2,784;1,027;18,892;2,784;1,027;1,085
ObjB-14;0,087;27;14;1,403;66;14;14;0;49,926;3,519;0,407;49,926;3,519;0,407;0,523
ObjB-15;0,417;129;15;4,294;202;15;15;0;82,163;6,674;0,922;82,163;6,674;0,922;1,366
ObjB-16;0,178;55;16;2,519;128;16;16;0;158,345;4,327;0,345;158,345;4,327;0,345;0,813
ObjB-17;0,259;80;17;2,948;164;17;17;0;348,887;5,713;0,338;348,887;5,713;0,338;1,118
ObjB-18;0,155;48;18;2,095;100;18;18;0;20,708;7,875;0,542;20,708;7,875;0,542;0,737
ObjB-19;0,462;143;19;4,902;232;19;19;0;219,65;6,308;0,951;219,65;6,308;0,951;1,161
ObjB-20;0,204;63;20;2,701;126;20;20;0;253,079;7,222;0,714;253,079;7,222;0,714;1,013
ObjB-21;0,229;71;21;2,684;132;21;21;0;31,254;8,831;0,577;31,254;8,831;0,577;0,852
ObjB-22;0,265;82;22;3,494;158;22;22;0;69,037;8,902;0,927;69,037;8,902;0,927;1,114
ObjB-23;0,078;24;23;1,588;68;23;23;0;178,833;9,333;0,875;178,833;9,333;0,875;0,975
ObjB-24;0,355;110;24;3,733;184;24;24;0;107,136;9,127;0,773;107,136;9,127;0,773;1,071
ObjB-25;0,194;60;25;2,624;134;25;25;0;124,917;10,033;0,4;124,917;10,033;0,4;0,965
ObjB-26;0,123;38;26;2,062;112;26;26;0;160,316;11,211;0,079;160,316;11,211;0,079;0,887
ObjB-27;0,139;43;27;2,15;90;27;27;0;174,721;10,605;0,884;174,721;10,605;0,884;0,852
ObjB-28;0,142;44;28;1,968;92;28;28;0;213,545;10,682;0,5;213,545;10,682;0,5;0,722
ObjB-29;0,381;118;29;4,045;194;29;29;0;10,805;12,449;0,788;10,805;12,449;0,788;1,148
ObjB-30;0,507;157;30;5,102;296;30;30;0;313,287;11,108;0,395;313,287;11,108;0,395;1,412
ObjB-31;0,01;3;31;0,314;14;31;31;0;223,333;13,667;0;223,333;13,667;0;0,147
ObjB-32;0,427;132;32;4,109;200;32;32;0;61,553;14,545;0,879;61,553;14,545;0,879;1,199
ObjB-33;0,759;235;33;7,016;364;33;33;0;17,804;16,617;0,813;17,804;16,617;0,813;1,599
ObjB-34;0,016;5;34;0,501;20;34;34;0;85,8;16,6;0,4;85,8;16,6;0,4;0,334
ObjB-35;0,265;82;35;2,84;154;35;35;0;121,11;17,951;0,415;121,11;17,951;0,415;0,976
ObjB-36;0,556;172;36;5,558;274;36;36;0;244,017;17,465;0,907;244,017;17,465;0,907;1,327
ObjB-37;0,304;94;37;3,616;158;37;37;0;82,628;16,436;1,117;82,628;16,436;1,117;1,099
ObjB-38;0,078;24;38;1,13;52;38;38;0;139;18,5;0,5;139;18,5;0,5;0,48
ObjB-39;0,239;74;39;3,017;144;39;39;0;156,405;19,946;0,662;156,405;19,946;0,662;1,045
ObjB-40;0,404;125;40;4,569;220;40;40;0;306,304;20,8;0,896;306,304;20,8;0,896;1,175
ObjB-41;0,149;46;41;2,134;96;41;41;0;231,804;22,174;0,739;231,804;22,174;0,739;0,759
ObjB-42;0,149;46;42;2,397;128;42;42;0;318,391;21,087;0,152;318,391;21,087;0,152;0,93
ObjB-43;0,065;20;43;1,193;54;43;43;0;130,05;23,2;0,4;130,05;23,2;0,4;0,533
ObjB-44;0,145;45;44;2,198;102;44;44;0;281,956;23,733;0,622;281,956;23,733;0,622;0,759
ObjB-45;0,349;108;45;3,954;178;45;45;0;34,546;23,611;1,176;34,546;23,611;1,176;1,175
ObjB-46;0,216;67;46;2,687;136;46;46;0;137,716;24,776;0,463;137,716;24,776;0,463;0,82
ObjB-47;0,155;48;47;2,263;108;47;47;0;225,875;24,438;0,438;225,875;24,438;0,438;0,729
ObjB-48;0,352;109;48;3,733;184;48;48;0;309,156;27,083;0,743;309,156;27,083;0,743;0,965
ObjB-49;0,469;145;49;4,361;212;49;49;0;217,138;27,186;0,924;217,138;27,186;0,924;1,171
ObjB-50;0,601;186;50;5,277;282;50;50;0;87,86;28,22;0,661;87,86;28,22;0,661;1,327
ObjB-51;0,058;18;51;1,109;50;51;51;0;331,556;27,833;0,444;331,556;27,833;0,444;0,48
ObjB-52;0,86;266;52;6,81;360;52;52;0;208,778;28,56;0,793;208,778;28,56;0,793;1,655
ObjB-53;0,653;202;53;6,571;300;53;53;0;253,851;30,01;1,168;253,851;30,01;1,168;1,487
ObjB-54;0,42;130;54;4,605;212;54;54;0;265,692;29,223;1,285;265,692;29,223;1,285;1,344
ObjB-55;0,407;126;55;4,097;214;55;55;0;44,214;31,381;0,651;44,214;31,381;0,651;1,153
ObjB-56;0,107;33;56;1,964;84;56;56;0;64,212;30,303;0,727;64,212;30,303;0,727;1,039
ObjB-57;0,084;26;57;1,451;78;57;57;0;367,731;29,269;0,077;367,731;29,269;0,077;0,605
ObjB-58;0,068;21;58;1,152;54;58;58;0;288,81;31,286;0,381;288,81;31,286;0,381;0,48
ObjB-59;0,246;76;59;2,96;150;59;59;0;174,408;32,039;0,526;174,408;32,039;0,526;0,959
ObjB-60;0,058;18;60;1,135;60;60;60;0;196,722;33,278;0;196,722;33,278;0;0,696
ObjB-61;0,252;78;61;3,281;142;61;61;0;298,244;32,256;1,077;298,244;32,256;1,077;1,175
