Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,016;5;1;0,46;20;1;1;0;110,4;0,4;0,2;110,4;0,4;0,2;0,334
ObjB-2;0,016;5;2;0,46;20;2;2;0;402,4;1,4;0,2;402,4;1,4;0,2;0,334
ObjB-3;0,023;7;3;0,524;26;3;3;0;71;3,714;0;71;3,714;0;0,232
ObjB-4;0,029;9;4;0,69;30;4;4;0;27,444;7,111;0,556;27,444;7,111;0,556;0,379
ObjB-5;0,039;12;5;0,982;42;5;5;0;319;7,917;0,417;319;7,917;0,417;0,379
ObjB-6;0,048;15;6;1,128;48;6;6;0;61,667;10,333;0,533;61,667;10,333;0,533;0,553
ObjB-7;0,029;9;7;0,668;28;7;7;0;157,667;10,444;0,556;157,667;10,444;0,556;0,379
ObjB-8;0,023;7;8;0,752;32;8;8;0;253,857;9,714;0,286;253,857;9,714;0,286;0,48
ObjB-9;0,023;7;9;0,606;26;9;9;0;384,714;10,286;0,286;384,714;10,286;0,286;0,365
ObjB-10;0,052;16;10;1,315;54;10;10;0;452,438;11,312;0,75;452,438;11,312;0,75;0,684
ObjB-11;0,039;12;11;0,917;36;11;11;0;117,417;12,583;0,833;117,417;12,583;0,833;0,643
ObjB-12;0,048;15;12;1,066;46;12;12;0;346,333;13,067;0,667;346,333;13,067;0,667;0,643
ObjB-13;0,055;17;13;1,171;52;13;13;0;435,882;13,588;0,706;435,882;13,588;0,706;0,707
ObjB-14;0,026;8;14;0,69;30;14;14;0;195,625;16,875;0,375;195,625;16,875;0,375;0,379
ObjB-15;0,029;9;15;0,709;28;15;15;0;225,556;17,444;0,667;225,556;17,444;0,667;0,618
ObjB-16;0,01;3;16;0,314;14;16;16;0;319,333;16,333;0;319,333;16,333;0;0,147
ObjB-17;0,013;4;17;0,398;18;17;17;0;281,5;19;0;281,5;19;0;0,232
ObjB-18;0,023;7;18;0,587;28;18;18;0;8,286;20,857;0;8,286;20,857;0;0,328
ObjB-19;0,045;14;19;0,92;40;19;19;0;482,857;21;0,571;482,857;21;0,571;0,42
ObjB-20;0,09;28;20;1,425;68;20;20;0;34,607;23,571;0,464;34,607;23,571;0,464;0,599
ObjB-21;0,039;12;21;0,857;38;21;21;0;406,333;28,417;0,333;406,333;28,417;0,333;0,379
ObjB-22;0,042;13;22;0,898;38;22;22;0;476,923;33,769;0,462;476,923;33,769;0,462;0,379
ObjB-23;0,029;9;23;0,733;34;23;23;0;83,556;35;0,111;83,556;35;0,111;0,365
ObjB-24;0,071;22;24;1,377;56;24;24;0;224,409;36,455;0,909;224,409;36,455;0,909;0,684
ObjB-25;0,023;7;25;0,524;26;25;25;0;342,714;38,571;0;342,714;38,571;0;0,328
ObjB-26;0,103;32;26;1,839;80;26;26;0;160,625;41,25;0,688;160,625;41,25;0,688;0,737
ObjB-27;0,149;46;27;2,237;98;27;27;0;166,283;40,37;0,804;166,283;40,37;0,804;0,852
ObjB-28;0,045;14;28;0,898;38;28;28;0;304;42;0,5;304;42;0,5;0,42
ObjB-29;0,048;15;29;0,963;44;29;29;0;432,6;47,867;0,333;432,6;47,867;0,333;0,445
ObjB-30;0,055;17;30;1,147;46;30;30;0;285;48,412;0,882;285;48,412;0,882;0,643
ObjB-31;0,094;29;31;1,945;86;31;31;0;199,379;47,931;0,448;199,379;47,931;0,448;0,699
ObjB-32;0,071;22;32;1,298;60;32;32;0;117,364;51,136;0,409;117,364;51,136;0,409;0,523
ObjB-33;0,006;2;33;0,23;10;33;33;0;464,5;55;0;464,5;55;0;0,104
ObjB-34;0,045;14;34;1,001;40;34;34;0;158,643;56,571;0,929;158,643;56,571;0,929;0,643
ObjB-35;0,048;15;35;1,006;48;35;35;0;207,667;56,2;0,2;207,667;56,2;0,2;0,445
ObjB-36;0,029;9;36;0,692;34;36;36;0;59,444;58,667;0;59,444;58,667;0;0,328
ObjB-37;0,019;6;37;0,544;24;37;37;0;199,167;60,333;0,333;199,167;60,333;0,333;0,379
ObjB-38;0,132;41;38;2,531;114;38;38;0;427,488;60,78;0,39;427,488;60,78;0,39;0,79
