Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,5215.728,1614133,1,20682.017,965728,1,1,0,242.200,247.108,6.049,242.200,247.108,6.049,71.789
ObjA-2,0.006,2,2,0.230,10,2,2,0,404.500,359.000,0.000,404.500,359.000,0.000,0.104
ObjA-3,0.078,24,3,1.899,78,3,3,0,157.250,182.417,0.750,157.250,182.417,0.750,0.871
ObjA-4,0.246,76,4,3.618,162,4,4,0,24.737,308.289,10.882,24.737,308.289,10.882,1.171
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,14.000,362.000,0.000,14.000,362.000,0.000,0.000
ObjA-6,0.824,255,6,10.027,428,6,6,0,426.792,326.478,8.580,426.792,326.478,8.580,3.115
ObjA-7,0.003,1,7,0.146,6,7,7,NaN,340.000,183.000,0.000,340.000,183.000,0.000,0.000
ObjA-8,0.688,213,8,7.464,330,8,8,0,43.455,367.911,1.784,43.455,367.911,1.784,1.850
ObjA-9,0.158,49,9,2.364,106,9,9,0,208.000,185.551,0.755,208.000,185.551,0.755,0.865
ObjA-10,0.003,1,10,0.146,6,10,10,NaN,326.000,364.000,2.000,326.000,364.000,2.000,0.000
ObjA-11,0.162,50,11,2.989,130,11,11,0,320.580,343.960,10.860,320.580,343.960,10.860,1.268
ObjA-12,0.036,11,12,0.836,36,12,12,0,346.545,365.364,0.364,346.545,365.364,0.364,0.379
ObjA-13,0.003,1,13,0.146,6,13,13,NaN,393.000,131.000,6.000,393.000,131.000,6.000,0.000
ObjA-14,0.087,27,14,1.650,70,14,14,0,316.852,348.111,11.074,316.852,348.111,11.074,0.958
ObjA-15,0.404,125,15,4.943,232,15,15,0,403.064,350.384,11.056,403.064,350.384,11.056,1.351
ObjA-16,0.048,15,16,0.963,44,16,16,0,338.400,189.267,0.333,338.400,189.267,0.333,0.445
ObjA-17,0.003,1,17,0.146,6,17,17,NaN,389.000,443.000,2.000,389.000,443.000,2.000,0.000
ObjA-18,0.003,1,18,0.146,6,18,18,NaN,77.000,10.000,0.000,77.000,10.000,0.000,0.000
ObjA-19,0.003,1,19,0.146,6,19,19,NaN,110.000,164.000,6.000,110.000,164.000,6.000,0.000
ObjA-20,0.023,7,20,0.939,38,20,20,0,249.714,487.429,3.000,249.714,487.429,3.000,0.609
ObjA-21,0.019,6,21,0.793,32,21,21,0,378.333,165.500,7.000,378.333,165.500,7.000,0.668
ObjA-22,0.003,1,22,0.146,6,22,22,NaN,69.000,192.000,0.000,69.000,192.000,0.000,0.000
ObjA-23,0.078,24,23,2.084,80,23,23,0,3.667,490.708,4.708,3.667,490.708,4.708,1.803
