Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,026;8;1;0,668;28;1;1;0;2;0,375;0,375;2;0,375;0,375;0,379
ObjB-2;0,023;7;2;0,606;26;2;2;0;57,714;0,286;0,286;57,714;0,286;0,286;0,365
ObjB-3;0,013;4;3;0,438;18;3;3;0;123,75;0;0,25;123,75;0;0,25;0,365
ObjB-4;0,12;37;4;1,856;108;4;4;0;189,135;0,865;0;189,135;0,865;0;1,353
ObjB-5;0,019;6;5;0,544;24;5;5;0;360;0,667;0,167;360;0,667;0,167;0,379
ObjB-6;0,09;28;6;1,298;60;6;6;0;241,714;1,5;0,5;241,714;1,5;0,5;0,48
ObjB-7;0,103;32;7;1,612;74;7;7;0;346,312;1,25;0,531;346,312;1,25;0,531;0,707
ObjB-8;0,036;11;8;0,92;40;8;8;0;367,909;0,273;0,273;367,909;0,273;0,273;0,523
ObjB-9;0,152;47;9;2,076;102;9;9;0;324,894;2,191;0,426;324,894;2,191;0,426;0,729
ObjB-10;0,042;13;10;0,898;38;10;10;0;0,385;3,615;0,462;0,385;3,615;0,462;0,445
ObjB-11;0,107;33;11;1,614;78;11;11;0;100,697;1,758;0,394;100,697;1,758;0,394;0,599
ObjB-12;0,058;18;12;1,01;56;12;12;0;268,5;2,222;0;268,5;2,222;0;0,559
ObjB-13;0,01;3;13;0,314;14;13;13;0;360,333;3,333;0;360,333;3,333;0;0,147
ObjB-14;0,087;27;14;1,463;64;14;14;0;366,222;3,259;0,63;366,222;3,259;0,63;0,684
ObjB-15;0,048;15;15;1,046;48;15;15;0;285,733;5,2;0,267;285,733;5,2;0,267;0,445
ObjB-16;0,026;8;16;0,668;28;16;16;0;362,625;3;0,375;362,625;3;0,375;0,379
ObjB-17;0,262;81;17;3,52;202;17;17;0;389,346;4,864;0,16;389,346;4,864;0,16;1,123
ObjB-18;0,013;4;18;0,398;18;18;18;0;43;4,25;0;43;4,25;0;0,208
ObjB-19;0,019;6;19;0,522;22;19;19;0;174,333;4,5;0,333;174,333;4,5;0,333;0,334
ObjB-20;0,158;49;20;2,141;108;20;20;0;210,429;5,224;0,49;210,429;5,224;0,49;0,722
ObjB-21;0,036;11;21;0,795;36;21;21;0;445,818;4,818;0,273;445,818;4,818;0,273;0,379
ObjB-22;0,097;30;22;1,652;74;22;22;0;128,667;6,4;0,533;128,667;6,4;0,533;0,707
ObjB-23;0,204;63;23;2,615;118;23;23;0;226,476;4,254;0,873;226,476;4,254;0,873;1,138
ObjB-24;0,061;19;24;1,109;50;24;24;0;254,053;6,579;0,474;254,053;6,579;0,474;0,445
ObjB-25;0,055;17;25;1,051;56;25;25;0;274,941;6,118;0;274,941;6,118;0;0,464
ObjB-26;0,032;10;26;0,752;32;26;26;0;288,6;6,4;0,4;288,6;6,4;0,4;0,379
ObjB-27;0,074;23;27;1,305;72;27;27;0;299,826;5,826;0;299,826;5,826;0;0,748
ObjB-28;0,071;22;28;1,257;60;28;28;0;404,955;6,591;0,318;404,955;6,591;0,318;0,523
ObjB-29;0,019;6;29;0,627;28;29;29;0;458,167;7;0;458,167;7;0;0,374
ObjB-30;0,039;12;30;0,86;42;30;30;0;43,917;7,333;0,083;43,917;7,333;0,083;0,432
ObjB-31;0,01;3;31;0,438;18;31;31;0;193;7;0;193;7;0;0,294
ObjB-32;0,071;22;32;1,193;54;32;32;0;357,955;7;0,455;357,955;7;0,455;0,523
ObjB-33;0,168;52;33;2,304;108;33;33;0;325,5;10,096;0,577;325,5;10,096;0,577;0,793
ObjB-34;0,152;47;34;2,318;98;34;34;0;14,319;12,149;0,851;14,319;12,149;0,851;0,895
ObjB-35;0,023;7;35;0,69;30;35;35;0;375,857;11,286;0,286;375,857;11,286;0,286;0,379
ObjB-36;0,204;63;36;2,562;132;36;36;0;148,206;11,889;0,397;148,206;11,889;0,397;0,748
ObjB-37;0,078;24;37;1,528;70;37;37;0;473;13,667;0,458;473;13,667;0,458;0,684
ObjB-38;0,055;17;38;0,927;52;38;38;0;134,588;13,882;0;134,588;13,882;0;0,464
ObjB-39;0,019;6;39;0,503;24;39;39;0;407,333;14,167;0;407,333;14,167;0;0,232
ObjB-40;0,068;21;40;1,65;70;40;40;0;328,762;14,619;0,571;328,762;14,619;0,571;0,634
ObjB-41;0,048;15;41;0,984;46;41;41;0;412,8;15,067;0,267;412,8;15,067;0,267;0,445
ObjB-42;0,01;3;42;0,314;14;42;42;0;450,667;14,667;0;450,667;14,667;0;0,147
ObjB-43;0,058;18;43;1,152;54;43;43;0;455,222;15,611;0,333;455,222;15,611;0,333;0,48
ObjB-44;0,065;20;44;1,13;52;44;44;0;207,75;15,75;0,4;207,75;15,75;0,4;0,48
ObjB-45;0,136;42;45;1,947;90;45;45;0;331,952;17,81;0,5;331,952;17,81;0,5;0,793
ObjB-46;0,019;6;46;0,69;30;46;46;0;335,833;17;0,167;335,833;17;0,167;0,334
ObjB-47;0,071;22;47;1,588;68;47;47;0;387,182;16,409;0,5;387,182;16,409;0,5;0,707
ObjB-48;0,058;18;48;1,13;52;48;48;0;58,611;16,333;0,333;58,611;16,333;0,333;0,445
ObjB-49;0,032;10;49;0,795;36;49;49;0;231,1;17,3;0,5;231,1;17,3;0,5;0,445
ObjB-50;0,084;26;50;1,528;70;50;50;0;442,038;19,192;0,577;442,038;19,192;0,577;0,634
ObjB-51;0,116;36;51;1,801;84;51;51;0;138,167;20,111;0,444;138,167;20,111;0,444;0,608
ObjB-52;0,09;28;52;1,715;76;52;52;0;254,929;19,25;0,5;254,929;19,25;0,5;0,659
ObjB-53;0,026;8;53;0,546;28;53;53;0;467,875;19,875;0;467,875;19,875;0;0,294
ObjB-54;0,01;3;54;0,417;16;54;54;0;230,333;20,333;0,333;230,333;20,333;0,333;0,334
ObjB-55;0,071;22;55;1,463;64;55;55;0;232,364;22,318;0,455;232,364;22,318;0,455;0,599
ObjB-56;0,065;20;56;1,296;56;56;56;0;253,7;22,95;0,45;253,7;22,95;0,45;0,553
ObjB-57;0,023;7;57;0,69;30;57;57;0;458;22,286;0,143;458;22,286;0,143;0,365
ObjB-58;0,055;17;58;1,006;48;58;58;0;25,059;23,765;0,294;25,059;23,765;0,294;0,48
ObjB-59;0,045;14;59;1,13;52;59;59;0;115,214;22,643;0,286;115,214;22,643;0,286;0,707
ObjB-60;0,019;6;60;0,441;22;60;60;0;302;24,5;0;302;24,5;0;0,232
ObjB-61;0,029;9;61;0,567;30;61;61;0;408;24;0;408;24;0;0,294
ObjB-62;0,103;32;62;1,652;74;62;62;0;345,5;24,75;0,594;345,5;24,75;0,594;0,737
ObjB-63;0,09;28;63;1,506;68;63;63;0;1;25,821;0,536;1;25,821;0,536;0,707
ObjB-64;0,132;41;64;1,887;92;64;64;0;127,098;28,317;0,439;127,098;28,317;0,439;0,675
ObjB-65;0,036;11;65;0,773;34;65;65;0;145,636;27,182;0,364;145,636;27,182;0,364;0,379
ObjB-66;0,042;13;66;0,857;38;66;66;0;153;27,308;0,385;153;27,308;0,385;0,42
ObjB-67;0,11;34;67;1,734;74;67;67;0;355,088;26,941;0,912;355,088;26,941;0,912;0,759
ObjB-68;0,039;12;68;1,085;44;68;68;0;37,167;27,667;0,583;37,167;27,667;0,583;0,668
ObjB-69;0,187;58;69;2,632;112;69;69;0;317,862;28,483;1,293;317,862;28,483;1,293;1,059
ObjB-70;0,123;38;70;1,755;76;70;70;0;387,421;29,368;0,842;387,421;29,368;0,842;0,707
ObjB-71;0,029;9;71;0,939;38;71;71;0;42,778;29,556;0,444;42,778;29,556;0,444;0,635
ObjB-72;0,229;71;72;2,581;130;72;72;0;106,366;29,817;0,577;106,366;29,817;0,577;0,852
ObjB-73;0,016;5;73;0,522;22;73;73;0;169,6;31,2;0,2;169,6;31,2;0,2;0,365
ObjB-74;0,09;28;74;1,545;64;74;74;0;213,071;30,679;0,964;213,071;30,679;0,964;0,684
ObjB-75;0,158;49;75;2,134;96;75;75;0;189,633;32,449;0,776;189,633;32,449;0,776;0,759
ObjB-76;0,019;6;76;0,441;22;76;76;0;170;33,5;0;170;33,5;0;0,232
ObjB-77;0,116;36;77;1,717;80;77;77;0;292,25;33,5;0,472;292,25;33,5;0,472;0,608
ObjB-78;0,058;18;78;0,948;54;78;78;0;355,778;34,611;0;355,778;34,611;0;0,519
ObjB-79;0,029;9;79;0,711;32;79;79;0;62,889;35,222;0,222;62,889;35,222;0,222;0,379
ObjB-80;0,055;17;80;1,068;50;80;80;0;72,529;34,294;0,294;72,529;34,294;0,294;0,523
ObjB-81;0,016;5;81;0,522;22;81;81;0;77,2;35,4;0,2;77,2;35,4;0,2;0,379
ObjB-82;0,01;3;82;0,314;14;82;82;0;425,667;34,667;0;425,667;34,667;0;0,147
ObjB-83;0,042;13;83;0,9;42;83;83;0;36,615;36,615;0,231;36,615;36,615;0,231;0,445
ObjB-84;0,09;28;84;1,319;62;84;84;0;142,607;35,5;0,464;142,607;35,5;0,464;0,533
ObjB-85;0,152;47;85;2,34;100;85;85;0;393,085;36,106;1,106;393,085;36,106;1,106;1,114
ObjB-86;0,094;29;86;1,554;80;86;86;0;27,828;36,724;0,207;27,828;36,724;0,207;0,656
ObjB-87;0,023;7;87;0,73;30;87;87;0;41,429;37;0,286;41,429;37;0,286;0,42
ObjB-88;0,032;10;88;0,939;38;88;88;0;169,2;38;0,4;169,2;38;0,4;0,445
ObjB-89;0,223;69;89;2,804;128;89;89;0;201,275;36,13;0,812;201,275;36,13;0,812;0,948
ObjB-90;0,023;7;90;0,587;28;90;90;0;210;36,143;0;210;36,143;0;0,294
ObjB-91;0,145;45;91;1,889;96;91;91;0;417,089;37,4;0,4;417,089;37,4;0,4;0,729
ObjB-92;0,058;18;92;1,319;62;92;92;0;72,722;38,333;0,167;72,722;38,333;0,167;0,559
ObjB-93;0,145;45;93;2,031;94;93;93;0;206,333;36,267;0,578;206,333;36,267;0,578;0,852
ObjB-94;0,065;20;94;1,046;48;94;94;0;233,8;38,05;0,45;233,8;38,05;0,45;0,48
ObjB-95;0,036;11;95;0,836;36;95;95;0;237,455;37,364;0,455;237,455;37,364;0,455;0,432
ObjB-96;0,116;36;96;1,633;76;96;96;0;289,556;38,111;0,5;289,556;38,111;0,5;0,553
ObjB-97;0,094;29;97;1,485;66;97;97;0;435,517;38,655;0,586;435,517;38,655;0,586;0,668
ObjB-98;0,016;5;98;0,419;20;98;98;0;43,8;38,6;0;43,8;38,6;0;0,232
ObjB-99;0,094;29;99;1,549;72;99;99;0;47,828;38,414;0,414;47,828;38,414;0,414;0,699
ObjB-100;0,184;57;100;2,364;106;100;100;0;464,895;37,912;0,877;464,895;37,912;0,877;0,8
ObjB-101;0,052;16;101;0,905;50;101;101;0;3,812;39,688;0;3,812;39,688;0;0,464
ObjB-102;0,107;33;102;1,868;94;102;102;0;16,121;40,606;0,333;16,121;40,606;0,333;0,722
ObjB-103;0,068;21;103;1,212;52;103;103;0;27,714;40,857;0,571;27,714;40,857;0,571;0,668
ObjB-104;0,065;20;104;1,13;52;104;104;0;51,8;41,2;0,4;51,8;41,2;0,4;0,48
ObjB-105;0,026;8;105;0,649;30;105;105;0;82,125;40,75;0,125;82,125;40,75;0,125;0,379
ObjB-106;0,045;14;106;0,8;44;106;106;0;21,929;40,857;0;21,929;40,857;0;0,464
ObjB-107;0,074;23;107;1,3;64;107;107;0;32,391;42,087;0,261;32,391;42,087;0,261;0,659
ObjB-108;0,107;33;108;1,554;80;108;108;0;43;42,424;0,303;43;42,424;0,303;0,599
ObjB-109;0,084;26;109;1,444;66;109;109;0;166,308;42,038;0,423;166,308;42,038;0,423;0,553
ObjB-110;0,068;21;110;1,214;56;110;110;0;221,238;42,667;0,381;221,238;42,667;0,381;0,48
ObjB-111;0,136;42;111;2,129;88;111;111;0;310,238;42,5;1,048;310,238;42,5;1,048;0,975
ObjB-112;0,023;7;112;0,668;28;112;112;0;92;43,286;0,429;92;43,286;0,429;0,379
ObjB-113;0,152;47;113;2,237;98;113;113;0;147,489;44,298;0,809;147,489;44,298;0,809;1,013
ObjB-114;0,045;14;114;0,879;40;114;114;0;274,143;43,929;0,357;274,143;43,929;0,357;0,42
ObjB-115;0,01;3;115;0,314;14;115;115;0;78,667;44,667;0;78,667;44,667;0;0,147
ObjB-116;0,026;8;116;0,709;28;116;116;0;89,25;44,75;0,5;89,25;44,75;0,5;0,379
ObjB-117;0,023;7;117;0,524;26;117;117;0;399,143;44,714;0;399,143;44,714;0;0,294
ObjB-118;0,01;3;118;0,314;14;118;118;0;361,333;46,333;0;361,333;46,333;0;0,147
ObjB-119;0,194;60;119;2,538;126;119;119;0;409,183;46,967;0,467;409,183;46,967;0,467;0,756
ObjB-120;0,074;23;120;1,193;54;120;120;0;429,652;47,826;0,478;429,652;47,826;0,478;0,48
