Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.265,82,1,3.532,188,1,1,0,84.988,1.695,0.354,84.988,1.695,0.354,1.183
ObjA-2,149.412,46239,2,682.117,32958,2,2,0,410.968,97.420,6.003,410.968,97.420,6.003,22.403
ObjA-3,7.913,2449,3,47.141,2002,3,3,0,474.573,19.503,6.972,474.573,19.503,6.972,6.052
ObjA-4,4.155,1286,4,36.524,1610,4,4,0,324.212,15.522,4.433,324.212,15.522,4.433,4.986
ObjA-5,0.708,219,5,7.788,326,5,5,0,190.744,141.091,8.753,190.744,141.091,8.753,2.185
ObjA-6,5.606,1735,6,36.485,1716,6,6,0,272.943,11.160,5.479,272.943,11.160,5.479,6.540
ObjA-7,0.058,18,7,1.420,60,7,7,0,425.111,148.778,5.889,425.111,148.778,5.889,0.707
ObjA-8,0.052,16,8,1.128,48,8,8,0,219.562,14.125,0.500,219.562,14.125,0.500,0.643
ObjA-9,1.858,575,9,16.406,782,9,9,0,242.170,191.635,9.579,242.170,191.635,9.579,3.779
ObjA-10,0.094,29,10,1.434,84,10,10,0,132.621,22.310,0.000,132.621,22.310,0.000,0.790
ObjA-11,0.317,98,11,5.216,212,11,11,0,459.857,19.724,4.041,459.857,19.724,4.041,3.250
ObjA-12,0.834,258,12,9.898,416,12,12,0,149.574,22.725,5.081,149.574,22.725,5.081,3.878
ObjA-13,0.003,1,13,0.146,6,13,13,NaN,292.000,212.000,5.000,292.000,212.000,5.000,0.000
ObjA-14,2.743,849,14,20.724,922,14,14,0,353.194,40.742,5.007,353.194,40.742,5.007,4.682
ObjA-15,1.073,332,15,13.159,560,15,15,0,365.732,237.584,8.175,365.732,237.584,8.175,3.357
ObjA-16,0.359,111,16,4.634,192,16,16,0,31.622,247.559,7.252,31.622,247.559,7.252,1.739
ObjA-17,132.796,41097,17,520.579,25334,17,17,0,93.546,128.321,5.176,93.546,128.321,5.176,25.881
ObjA-18,0.378,117,18,4.955,218,18,18,0,194.513,36.547,1.846,194.513,36.547,1.846,2.382
ObjA-19,0.006,2,19,0.271,10,19,19,0,215.000,294.000,5.500,215.000,294.000,5.500,0.300
ObjA-20,4.291,1328,20,29.572,1596,20,20,0,6.265,61.206,1.297,6.265,61.206,1.297,4.336
ObjA-21,0.048,15,21,1.025,46,21,21,0,201.000,46.533,0.667,201.000,46.533,0.667,0.737
ObjA-22,0.016,5,22,0.522,22,22,22,0,130.800,52.800,0.200,130.800,52.800,0.200,0.365
ObjA-23,0.006,2,23,0.292,12,23,23,0,303.500,55.500,0.000,303.500,55.500,0.000,0.147
ObjA-24,0.100,31,24,1.597,84,24,24,0,164.935,58.194,0.194,164.935,58.194,0.194,0.605
ObjA-25,1.761,545,25,13.987,618,25,25,0,4.191,356.037,9.837,4.191,356.037,9.837,3.104
ObjA-26,0.129,40,26,2.641,128,26,26,0,213.925,71.200,0.450,213.925,71.200,0.450,1.390
ObjA-27,0.036,11,27,0.939,38,27,27,0,414.727,394.636,5.727,414.727,394.636,5.727,0.643
ObjA-28,0.139,43,28,2.354,90,28,28,0,343.930,423.000,7.442,343.930,423.000,7.442,1.518
ObjA-29,2.333,722,29,18.305,826,29,29,0,9.553,444.181,9.587,9.553,444.181,9.587,3.239
ObjA-30,1.205,373,30,13.509,566,30,30,0,404.877,74.724,4.748,404.877,74.724,4.748,3.771
ObjA-31,0.126,39,31,2.507,108,31,31,0,150.744,464.333,6.179,150.744,464.333,6.179,1.045
ObjA-32,0.006,2,32,0.230,10,32,32,0,398.500,74.000,0.000,398.500,74.000,0.000,0.104
ObjA-33,0.003,1,33,0.146,6,33,33,NaN,21.000,75.000,0.000,21.000,75.000,0.000,0.000
ObjA-34,0.304,94,34,4.933,216,34,34,0,178.064,477.426,6.968,178.064,477.426,6.968,1.925
ObjA-35,0.181,56,35,2.924,124,35,35,0,411.857,480.089,6.929,411.857,480.089,6.929,1.387
ObjA-36,0.006,2,36,0.230,10,36,36,0,19.500,79.000,0.000,19.500,79.000,0.000,0.104
ObjA-37,0.889,275,37,9.644,366,37,37,0,220.400,83.971,6.342,220.400,83.971,6.342,3.721
