Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.019,6,1,0.522,22,1,1,0,123.667,177.500,8.333,123.667,177.500,8.333,0.334
ObjA-2,0.045,14,2,1.250,48,2,2,0,115.857,0.071,1.500,115.857,0.071,1.500,0.924
ObjA-3,0.013,4,3,0.438,18,3,3,0,34.000,180.000,8.750,34.000,180.000,8.750,0.317
ObjA-4,0.036,11,4,0.795,36,4,4,0,231.000,0.727,0.273,231.000,0.727,0.273,0.420
ObjA-5,4.259,1318,5,35.554,1588,5,5,0,21.545,31.733,5.040,21.545,31.733,5.040,5.091
ObjA-6,0.026,8,6,0.814,34,6,6,0,356.500,187.750,8.250,356.500,187.750,8.250,0.379
ObjA-7,3.955,1224,7,32.180,1460,7,7,0,233.520,13.600,5.500,233.520,13.600,5.500,4.274
ObjA-8,2.569,795,8,23.969,1072,8,8,0,339.020,18.024,4.238,339.020,18.024,4.238,4.961
ObjA-9,0.346,107,9,4.229,196,9,9,0,335.551,194.009,9.991,335.551,194.009,9.991,1.374
ObjA-10,0.323,100,10,3.367,150,10,10,0,356.320,196.850,9.740,356.320,196.850,9.740,1.085
ObjA-11,0.236,73,11,3.403,142,11,11,0,298.068,19.932,1.877,298.068,19.932,1.877,1.344
ObjA-12,0.029,9,12,0.814,34,12,12,0,251.556,198.556,9.111,251.556,198.556,9.111,0.684
ObjA-13,0.010,3,13,0.354,14,13,13,0,368.000,200.333,8.667,368.000,200.333,8.667,0.317
ObjA-14,0.006,2,14,0.230,10,14,14,0,145.000,226.500,8.000,145.000,226.500,8.000,0.104
ObjA-15,6.117,1893,15,41.739,1958,15,15,0,308.831,48.266,6.179,308.831,48.266,6.179,5.554
ObjA-16,0.262,81,16,3.180,144,16,16,0,246.481,232.235,10.099,246.481,232.235,10.099,1.094
ObjA-17,0.136,42,17,2.318,98,17,17,0,261.881,36.595,1.524,261.881,36.595,1.524,1.013
