Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.052,16,1,1.085,44,1,1,0,241.250,343.438,11.062,241.250,343.438,11.062,0.684
ObjA-2,1.286,398,2,15.805,662,2,2,0,106.028,5.329,8.296,106.028,5.329,8.296,4.094
ObjA-3,0.003,1,3,0.146,6,3,3,NaN,259.000,344.000,10.000,259.000,344.000,10.000,0.000
ObjA-4,0.055,17,4,1.355,54,4,4,0,208.882,0.176,1.353,208.882,0.176,1.353,0.991
ObjA-5,2.327,720,5,16.974,710,5,5,0,293.196,3.390,4.364,293.196,3.390,4.364,3.789
ObjA-6,0.016,5,6,0.419,20,6,6,0,18.600,2.800,0.000,18.600,2.800,0.000,0.232
ObjA-7,0.052,16,7,1.152,54,7,7,0,325.875,3.562,0.188,325.875,3.562,0.188,0.675
ObjA-8,0.032,10,8,0.795,36,8,8,0,112.900,0.900,11.800,112.900,0.900,11.800,0.379
ObjA-9,0.013,4,9,0.335,16,9,9,0,306.500,7.500,0.000,306.500,7.500,0.000,0.147
ObjA-10,0.388,120,10,5.666,250,10,10,0,275.067,4.592,2.825,275.067,4.592,2.825,2.169
ObjA-11,0.032,10,11,0.795,36,11,11,0,267.400,12.300,0.200,267.400,12.300,0.200,0.379
ObjA-12,0.032,10,12,0.795,36,12,12,0,160.200,11.100,11.800,160.200,11.100,11.800,0.379
ObjA-13,12.767,3951,13,77.188,3438,13,13,0,30.808,29.768,7.086,30.808,29.768,7.086,7.065
ObjA-14,0.039,12,14,1.066,46,14,14,0,357.500,20.333,11.500,357.500,20.333,11.500,0.523
ObjA-15,4.440,1374,15,45.124,1932,15,15,0,170.189,26.255,4.565,170.189,26.255,4.565,4.413
ObjA-16,0.010,3,16,0.314,14,16,16,0,359.667,14.667,0.000,359.667,14.667,0.000,0.147
ObjA-17,0.097,30,17,1.592,76,17,17,0,214.800,17.533,0.367,214.800,17.533,0.367,0.659
ObjA-18,0.006,2,18,0.271,10,18,18,0,61.000,50.000,11.500,61.000,50.000,11.500,0.300
ObjA-19,0.010,3,19,0.376,16,19,19,0,322.667,17.667,0.333,322.667,17.667,0.333,0.334
ObjA-20,0.016,5,20,0.419,20,20,20,0,20.400,20.800,0.000,20.400,20.800,0.000,0.232
ObjA-21,0.006,2,21,0.271,10,21,21,0,287.000,69.000,11.500,287.000,69.000,11.500,0.300
ObjA-22,0.006,2,22,0.271,10,22,22,0,264.000,72.000,11.500,264.000,72.000,11.500,0.300
ObjA-23,0.986,305,23,12.053,514,23,23,0,85.689,23.410,3.210,85.689,23.410,3.210,3.832
ObjA-24,0.052,16,24,1.293,52,24,24,0,73.938,23.562,1.188,73.938,23.562,1.188,0.684
ObjA-25,0.036,11,25,0.817,38,25,25,0,23.273,25.000,0.182,23.273,25.000,0.182,0.379
ObjA-26,0.003,1,26,0.146,6,26,26,NaN,65.000,24.000,0.000,65.000,24.000,0.000,0.000
ObjA-27,0.107,33,27,1.952,98,27,27,0,176.394,104.939,11.818,176.394,104.939,11.818,0.889
ObjA-28,3.121,966,28,28.013,1266,28,28,0,59.379,20.069,4.267,59.379,20.069,4.267,4.373
ObjA-29,8.712,2696,29,55.492,2732,29,29,0,205.684,26.412,4.877,205.684,26.412,4.877,5.994
ObjA-30,0.032,10,30,0.879,40,30,30,0,209.300,128.200,11.900,209.300,128.200,11.900,0.379
ObjA-31,1.742,539,31,15.458,694,31,31,0,364.006,37.516,2.078,364.006,37.516,2.078,3.130
ObjA-32,0.003,1,32,0.146,6,32,32,NaN,23.000,33.000,0.000,23.000,33.000,0.000,0.000
