Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.255,79,1,3.805,168,1,1,0,162.823,335.165,1.013,162.823,335.165,1.013,1.242
ObjA-2,5060.930,1566227,2,19924.024,936850,2,2,0,241.671,235.733,6.009,241.671,235.733,6.009,71.629
ObjA-3,1.612,499,3,17.057,816,3,3,0,208.737,343.108,0.988,208.737,343.108,0.988,2.511
ObjA-4,0.003,1,4,0.146,6,4,4,NaN,227.000,334.000,0.000,227.000,334.000,0.000,0.000
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,406.000,336.000,0.000,406.000,336.000,0.000,0.000
ObjA-6,0.055,17,6,1.336,56,6,6,0,185.882,338.353,0.824,185.882,338.353,0.824,0.707
ObjA-7,0.003,1,7,0.146,6,7,7,NaN,198.000,219.000,4.000,198.000,219.000,4.000,0.000
ObjA-8,0.010,3,8,0.376,16,8,8,0,423.667,298.000,9.000,423.667,298.000,9.000,0.232
ObjA-9,0.003,1,9,0.146,6,9,9,NaN,461.000,300.000,9.000,461.000,300.000,9.000,0.000
ObjA-10,0.110,34,10,1.734,74,10,10,0,377.441,1.294,0.794,377.441,1.294,0.794,0.737
ObjA-11,0.158,49,11,2.469,112,11,11,0,384.245,340.306,0.673,384.245,340.306,0.673,0.820
ObjA-12,0.010,3,12,0.354,14,12,12,0,448.000,314.333,9.667,448.000,314.333,9.667,0.317
ObjA-13,0.013,4,13,0.398,18,13,13,0,474.000,339.750,0.000,474.000,339.750,0.000,0.208
ObjA-14,0.029,9,14,0.855,34,14,14,0,441.222,318.667,11.111,441.222,318.667,11.111,0.947
ObjA-15,0.003,1,15,0.146,6,15,15,NaN,236.000,340.000,0.000,236.000,340.000,0.000,0.000
ObjA-16,0.003,1,16,0.146,6,16,16,NaN,192.000,341.000,0.000,192.000,341.000,0.000,0.000
ObjA-17,0.520,161,17,7.220,296,17,17,0,481.826,269.012,8.093,481.826,269.012,8.093,2.527
ObjA-18,0.003,1,18,0.146,6,18,18,NaN,364.000,341.000,0.000,364.000,341.000,0.000,0.000
ObjA-19,3.890,1204,19,38.378,1646,19,19,0,167.959,346.819,5.260,167.959,346.819,5.260,5.386
ObjA-20,0.016,5,20,0.522,22,20,20,0,456.000,295.200,4.600,456.000,295.200,4.600,0.365
ObjA-21,0.006,2,21,0.292,12,21,21,0,354.500,296.500,4.500,354.500,296.500,4.500,0.334
ObjA-22,0.003,1,22,0.146,6,22,22,NaN,117.000,343.000,0.000,117.000,343.000,0.000,0.000
ObjA-23,0.029,9,23,0.752,32,23,23,0,31.222,344.889,0.333,31.222,344.889,0.333,0.379
ObjA-24,0.058,18,24,1.463,64,24,24,0,252.167,367.611,11.167,252.167,367.611,11.167,1.002
ObjA-25,0.016,5,25,0.625,24,25,25,0,327.400,332.800,4.400,327.400,332.800,4.400,0.379
ObjA-26,0.003,1,26,0.146,6,26,26,NaN,121.000,386.000,9.000,121.000,386.000,9.000,0.000
ObjA-27,0.006,2,27,0.230,10,27,27,0,138.500,387.000,9.000,138.500,387.000,9.000,0.104
ObjA-28,0.061,19,28,1.545,64,28,28,0,216.632,362.526,4.947,216.632,362.526,4.947,0.684
ObjA-29,0.010,3,29,0.314,14,29,29,0,355.333,20.667,0.000,355.333,20.667,0.000,0.147
ObjA-30,0.378,117,30,5.410,230,30,30,0,119.684,353.308,2.872,119.684,353.308,2.872,2.007
ObjA-31,0.039,12,31,1.001,40,31,31,0,409.333,421.917,10.000,409.333,421.917,10.000,0.643
ObjA-32,0.013,4,32,0.398,18,32,32,0,170.750,355.250,0.000,170.750,355.250,0.000,0.232
ObjA-33,0.003,1,33,0.146,6,33,33,NaN,174.000,356.000,0.000,174.000,356.000,0.000,0.000
ObjA-34,0.006,2,34,0.292,12,34,34,0,202.000,355.500,0.500,202.000,355.500,0.500,0.317
ObjA-35,0.317,98,35,3.851,176,35,35,0,189.571,444.643,11.071,189.571,444.643,11.071,1.171
ObjA-36,0.006,2,36,0.292,12,36,36,0,263.500,360.500,0.500,263.500,360.500,0.500,0.334
