Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,343;106;1;4,114;174;1;1;0;21,321;1,387;1,651;21,321;1,387;1,651;1,587
ObjB-2;0,145;45;2;2,201;106;2;2;0;44,644;0,978;0,422;44,644;0,978;0,422;0,907
ObjB-3;0,084;26;3;1,626;64;3;3;0;171,077;0,577;0,962;171,077;0,577;0,962;0,73
ObjB-4;0,265;82;4;3,159;142;4;4;0;188,415;1,524;1,61;188,415;1,524;1,61;1,171
ObjB-5;0,123;38;5;1,923;84;5;5;0;199,132;1,395;0,658;199,132;1,395;0,658;0,737
ObjB-6;0,078;24;6;1,463;64;6;6;0;256,458;0,75;0,542;256,458;0,75;0,542;0,707
ObjB-7;0,081;25;7;1,504;64;7;7;0;280,2;0,84;0,64;280,2;0,84;0,64;0,676
ObjB-8;0,074;23;8;1,425;68;8;8;0;289,87;1,348;0,261;289,87;1,348;0,261;0,675
ObjB-9;0,078;24;9;1,549;72;9;9;0;300,542;0,75;0,292;300,542;0,75;0,292;0,722
ObjB-10;0,045;14;10;0,92;40;10;10;0;330,643;0,429;0,429;330,643;0,429;0,429;0,445
ObjB-11;0,084;26;11;1,442;62;11;11;0;355,385;0,5;0,615;355,385;0,5;0,615;0,737
ObjB-12;0,142;44;12;2,158;102;12;12;0;365,545;1,545;0,477;365,545;1,545;0,477;0,919
ObjB-13;0,11;34;13;1,992;98;13;13;0;261,853;1,882;0,235;261,853;1,882;0,235;0,793
ObjB-14;0,126;39;14;1,825;90;14;14;0;348,795;1,846;0,385;348,795;1,846;0,385;0,729
ObjB-15;0,162;50;15;2,404;106;15;15;0;54,74;0,7;0,72;54,74;0,7;0,72;1,03
ObjB-16;0,184;57;16;2,397;128;16;16;0;165,737;2,614;0,316;165,737;2,614;0,316;0,936
ObjB-17;0,126;39;17;1,988;90;17;17;0;177,128;3,615;0,692;177,128;3,615;0,692;0,793
ObjB-18;0,242;75;18;2,866;130;18;18;0;53,107;5,133;0,867;53,107;5,133;0,867;0,852
ObjB-19;0,213;66;19;2,332;122;19;19;0;318,515;4,667;0,455;318,515;4,667;0,455;0,748
ObjB-20;0,136;42;20;1,784;90;20;20;0;331,833;4,881;0,405;331,833;4,881;0,405;0,729
ObjB-21;0,158;49;21;1,973;100;21;21;0;303,816;6,327;0,429;303,816;6,327;0,429;0,729
ObjB-22;0,21;65;22;2,44;132;22;22;0;310,492;5,738;0,369;310,492;5,738;0,369;0,864
ObjB-23;0,171;53;23;2,244;110;23;23;0;352,208;6,302;0,453;352,208;6,302;0,453;0,729
ObjB-24;0,078;24;24;1,319;62;24;24;0;324,167;8,042;0,375;324,167;8,042;0,375;0,553
ObjB-25;0,313;97;25;3,8;160;25;25;0;23,897;6,928;1,351;23,897;6,928;1,351;1,161
