Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,33.421,10343,1,213.724,9342,1,1,0,42.851,53.525,5.673,42.851,53.525,5.673,14.087
ObjA-2,0.078,24,2,1.525,66,2,2,0,133.417,0.500,0.542,133.417,0.500,0.542,0.800
ObjA-3,0.013,4,3,0.417,16,3,3,0,145.500,0.000,0.500,145.500,0.000,0.500,0.317
ObjA-4,2.239,693,4,18.679,838,4,4,0,212.866,15.315,2.496,212.866,15.315,2.496,3.732
ObjA-5,1148.959,355573,5,4283.311,206744,5,5,0,227.022,290.924,6.381,227.022,290.924,6.381,60.047
ObjA-6,0.010,3,6,0.354,14,6,6,0,272.667,285.000,3.333,272.667,285.000,3.333,0.317
ObjA-7,0.045,14,7,0.898,38,7,7,0,438.571,1.286,0.500,438.571,1.286,0.500,0.445
ObjA-8,0.019,6,8,0.544,24,8,8,0,226.833,55.500,11.833,226.833,55.500,11.833,0.334
ObjA-9,0.003,1,9,0.146,6,9,9,NaN,144.000,307.000,3.000,144.000,307.000,3.000,0.000
ObjA-10,0.087,27,10,1.466,68,10,10,0,172.741,64.185,11.593,172.741,64.185,11.593,0.553
ObjA-11,0.139,43,11,2.179,104,11,11,0,381.372,4.419,0.488,381.372,4.419,0.488,0.800
ObjA-12,0.019,6,12,0.544,24,12,12,0,338.333,69.167,11.833,338.333,69.167,11.833,0.334
ObjA-13,1.448,448,13,14.150,652,13,13,0,397.263,15.116,1.725,397.263,15.116,1.725,3.345
ObjA-14,12.175,3768,14,128.081,5622,14,14,0,225.077,34.102,5.093,225.077,34.102,5.093,11.948
ObjA-15,0.013,4,15,0.479,18,15,15,0,265.000,327.500,4.000,265.000,327.500,4.000,0.609
ObjA-16,0.006,2,16,0.271,10,16,16,0,301.000,86.000,11.500,301.000,86.000,11.500,0.300
ObjA-17,0.023,7,17,0.771,30,17,17,0,440.143,6.714,1.286,440.143,6.714,1.286,0.929
ObjA-18,0.026,8,18,0.771,30,18,18,0,266.750,337.750,4.250,266.750,337.750,4.250,0.618
ObjA-19,0.039,12,19,0.838,40,19,19,0,341.500,90.167,11.833,341.500,90.167,11.833,0.379
ObjA-20,2.688,832,20,32.401,1352,20,20,0,473.601,12.522,4.648,473.601,12.522,4.648,4.939
ObjA-21,0.149,46,21,2.368,114,21,21,0,372.304,99.239,11.630,372.304,99.239,11.630,1.003
ObjA-22,0.003,1,22,0.146,6,22,22,NaN,172.000,12.000,0.000,172.000,12.000,0.000,0.000
ObjA-23,0.016,5,23,0.544,24,23,23,0,256.000,98.400,11.600,256.000,98.400,11.600,0.379
ObjA-24,0.090,28,24,1.856,74,24,24,0,419.571,15.500,1.893,419.571,15.500,1.893,0.958
ObjA-25,0.003,1,25,0.146,6,25,25,NaN,376.000,380.000,3.000,376.000,380.000,3.000,0.000
ObjA-26,0.016,5,26,0.501,20,26,26,0,131.600,107.800,11.600,131.600,107.800,11.600,0.334
ObjA-27,13.558,4196,27,70.885,3246,27,27,0,162.815,19.612,6.693,162.815,19.612,6.693,6.764
ObjA-28,2.446,757,28,25.138,1052,28,28,0,229.948,381.283,8.328,229.948,381.283,8.328,4.049
ObjA-29,0.010,3,29,0.354,14,29,29,0,199.333,108.000,11.667,199.333,108.000,11.667,0.317
ObjA-30,0.039,12,30,0.857,38,30,30,0,285.917,108.750,11.667,285.917,108.750,11.667,0.480
ObjA-31,0.003,1,31,0.146,6,31,31,NaN,91.000,390.000,3.000,91.000,390.000,3.000,0.000
ObjA-32,0.643,199,32,7.117,294,32,32,0,453.206,396.668,8.854,453.206,396.668,8.854,2.865
ObjA-33,0.116,36,33,2.057,104,33,33,0,382.333,126.361,11.806,382.333,126.361,11.806,0.887
ObjA-34,0.010,3,34,0.354,14,34,34,0,110.667,415.000,3.667,110.667,415.000,3.667,0.317
ObjA-35,0.010,3,35,0.354,14,35,35,0,118.333,416.000,3.667,118.333,416.000,3.667,0.317
ObjA-36,0.065,20,36,1.466,68,36,36,0,337.850,162.250,11.750,337.850,162.250,11.750,0.734
ObjA-37,0.013,4,37,0.335,16,37,37,0,122.500,27.500,0.000,122.500,27.500,0.000,0.147
ObjA-38,0.019,6,38,0.565,26,38,38,0,114.833,173.000,11.833,114.833,173.000,11.833,0.420
ObjA-39,0.010,3,39,0.314,14,39,39,0,125.333,27.333,0.000,125.333,27.333,0.000,0.147
ObjA-40,5.406,1673,40,48.631,2182,40,40,0,419.262,34.066,7.291,419.262,34.066,7.291,5.806
ObjA-41,1.415,438,41,14.239,596,41,41,0,447.959,28.619,6.377,447.959,28.619,6.377,4.331
ObjA-42,0.013,4,42,0.417,16,42,42,0,304.000,181.500,11.500,304.000,181.500,11.500,0.317
ObjA-43,51.096,15813,43,250.949,11588,43,43,0,403.097,88.038,5.546,403.097,88.038,5.546,16.138
ObjA-44,0.003,1,44,0.146,6,44,44,NaN,160.000,449.000,3.000,160.000,449.000,3.000,0.000
ObjA-45,0.019,6,45,0.544,24,45,45,0,140.167,200.333,11.833,140.167,200.333,11.833,0.334
ObjA-46,0.013,4,46,0.501,20,46,46,0,450.250,200.250,11.750,450.250,200.250,11.750,0.379
ObjA-47,0.010,3,47,0.354,14,47,47,0,209.000,201.667,11.667,209.000,201.667,11.667,0.317
ObjA-48,0.048,15,48,1.171,52,48,48,0,151.000,207.800,11.733,151.000,207.800,11.733,0.533
ObjA-49,0.006,2,49,0.271,10,49,49,0,346.000,206.000,11.500,346.000,206.000,11.500,0.300
ObjA-50,0.036,11,50,1.025,46,50,50,0,74.545,208.000,11.909,74.545,208.000,11.909,0.559
ObjA-51,0.078,24,51,1.549,72,51,51,0,395.542,213.542,11.708,395.542,213.542,11.708,0.659
ObjA-52,0.465,144,52,5.252,238,52,52,0,260.896,57.160,1.028,260.896,57.160,1.028,1.534
ObjA-53,0.013,4,53,0.398,18,53,53,0,485.000,53.500,0.000,485.000,53.500,0.000,0.311
ObjA-54,0.174,54,54,3.358,134,54,54,0,192.611,2.667,6.315,192.611,2.667,6.315,1.344
ObjA-55,0.553,171,55,6.957,298,55,55,0,19.889,3.427,9.462,19.889,3.427,9.462,2.828
ObjA-56,0.052,16,56,1.209,48,56,56,0,299.312,55.812,1.062,299.312,55.812,1.062,0.929
ObjA-57,0.006,2,57,0.271,10,57,57,0,199.000,9.000,4.500,199.000,9.000,4.500,0.300
ObjA-58,0.006,2,58,0.271,10,58,58,0,406.000,217.000,11.500,406.000,217.000,11.500,0.300
ObjA-59,0.003,1,59,0.146,6,59,59,NaN,167.000,222.000,11.000,167.000,222.000,11.000,0.000
